Date;Open;High;Low;Close;Volume;Adj Close
2015-09-30;28,65;29,110001;28,49;28,91;17861800;28,91
2015-09-29;28,58;29,23;27,85;28,26;41761600;28,26
2015-09-28;29,030001;29,219999;27,200001;27,60;49088700;27,60
2015-09-25;29,66;29,709999;28,91;29,129999;11525300;29,129999
2015-09-24;29,469999;29,57;28,85;29,34;18723200;29,34
2015-09-23;30,559999;30,57;29,629999;29,74;12674700;29,74
2015-09-22;30,780001;30,92;30,17;30,40;15257000;30,40
2015-09-21;31,200001;31,74;30,879999;31,17;18413400;31,17
2015-09-18;30,51;30,799999;30,41;30,74;20144700;30,74
2015-09-17;31,309999;31,33;30,809999;30,93;16546900;30,93
2015-09-16;31,139999;31,77;30,99;31,40;22171700;31,40
2015-09-15;29,719999;31,23;29,41;31,040001;25637600;31,040001
2015-09-14;30,68;30,92;30,00;30,32;21951500;30,32
2015-09-11;31,09;31,43;30,629999;31,43;14365400;31,43
2015-09-10;31,35;31,59;31,030001;31,15;14330900;31,15
2015-09-09;30,40;31,799999;30,35;31,52;47058500;31,52
2015-09-08;32,200001;32,830002;30,860001;30,90;26873900;30,90
2015-09-04;32,00;32,290001;31,440001;31,58;13829900;31,58
2015-09-03;31,860001;32,740002;31,799999;32,540001;13710700;32,540001
2015-09-02;32,009998;32,029999;31,379999;31,77;15551500;31,77
2015-09-01;31,49;32,099998;31,23;31,60;19828300;31,60

